model,model_group,script,dic,waic,mae,rmse,wape,accuracy_pct,r2,waic_rank,wape_rank,rmse_rank,model_label,model_index,stage,wape_percent,delta_waic,delta_dic,waic_rank_recomputed,wape_rank_recomputed,rmse_rank_recomputed
R_M0,non_spatial,models/r_inla/baseline/base_model_r_m0.R,109000.873804158,109095.891356347,18.4490697359515,93.9781407060685,0.857937784853383,14.2062215146617,0.233749647046885,17,17,14,M0,0,Climate/socioeconomic,85.79377848533831,18941.293515586804,19233.392232850412,17,17,14
R_M1,non_spatial,models/r_inla/baseline/base_model_r_m1_covariates.R,104129.160581325,104221.589103497,18.7151912615386,95.0399527344699,0.855644602535999,14.4355397464001,0.233040561796276,15,16,16,M1,1,Climate/socioeconomic,85.5644602535999,14066.991262736803,14361.679010017411,15,16,16
R_M2,non_spatial,models/r_inla/baseline/base_model_r_m2_lag_weather.R,98268.2281620355,98365.0357278747,18.6987983827443,95.666770037197,0.852490974521123,14.7509025478877,0.226321338429268,14,14,17,M2,2,Climate/socioeconomic,85.2490974521123,8210.437887114502,8500.746590727911,14,14,17
R_M3,non_spatial,models/r_inla/baseline/base_model_r_m3_interpolation.R,105301.715622031,105395.012114274,18.6188351227082,94.6193372772742,0.854695715395488,14.5304284604512,0.234567843129574,16,15,15,M3,3,Climate/socioeconomic,85.46957153954881,15240.414273513801,15534.234050723404,16,15,15
R_M4,non_spatial,models/r_inla/baseline/base_model_r_m4_lag_cases.R,95277.2152395866,95469.4099039219,4.55960197448941,12.4306588327968,0.489500013165861,51.0499986834139,0.838217424085091,13,11,13,M4,4,Temporal,48.9500013165861,5314.812063161706,5509.733668279005,13,11,13
R_M5,non_spatial,models/r_inla/baseline/base_model_r_m5_lag_weather_cases.R,91356.6457683783,91525.6311577326,4.12109788396502,11.1179945496718,0.477069688438704,52.2930311561296,0.855733744922641,11,8,8,M5,5,Temporal,47.7069688438704,1371.0333169724036,1589.1641970706987,11,8,8
S1,spatial,models/r_inla/spatial/spatial_inla_model_s1.R,91357.0399189354,91526.4431096961,4.15365321446477,11.2491921782045,0.480838383533029,51.9161616466971,0.852308834689436,12,10,10,S1,6,Spatial,48.0838383533029,1371.845268935911,1589.5583476278116,12,10,10
S2,spatial,models/r_inla/spatial/spatial_inla_model_s2.R,91141.7233128812,91302.5510403236,3.98389884731226,10.439423158876,0.461187148515374,53.8812851484626,0.872806520326117,7,4,5,S2,7,Spatial,46.118714851537405,1147.9531995634024,1374.2417415735981,7,4,5
S3,spatial,models/r_inla/spatial/spatial_inla_model_s3.R,91189.1722040866,91360.8711812599,4.09746980484585,11.0969723824832,0.474334436653579,52.5665563346421,0.856278793237866,10,7,7,S3,8,Spatial,47.4334436653579,1206.2733404997125,1421.6906327790057,10,7,7
S4,spatial,models/r_inla/spatial/spatial_inla_model_s4_road.R,91142.2291115268,91303.4012266555,3.98432651069094,10.4305126775676,0.461236656010845,53.8763343989155,0.873023557498211,8,5,4,S4,9,Mobility,46.123665601084504,1148.8033858952986,1374.7475402192067,8,5,4
S5,spatial,models/r_inla/spatial/spatial_inla_model_s5_air.R,91140.746913222,91303.4811841189,3.97450735819344,10.4010492201978,0.46009996376169,53.9900036238311,0.873739894501405,9,3,3,S5,10,Mobility,46.009996376169,1148.8833433586988,1373.2653419144044,9,3,3
S6,spatial,models/r_inla/spatial/spatial_inla_model_s6_rainfall_region.R,91062.2894116172,91226.1371915723,3.92117173991482,10.1704990380944,0.453925685083701,54.6074314916299,0.879275234389971,5,1,1,S6,11,Climate heterogeneity,45.392568508370104,1071.539350812105,1294.8078403096006,5,1,1
S7,spatial,models/r_inla/spatial/spatial_inla_model_s7_temperature_region.R,91110.9807759084,91276.6767372917,4.00694314406749,10.6450947814585,0.463854820039529,53.6145179960471,0.867745362328867,6,6,6,S7,12,Climate heterogeneity,46.3854820039529,1122.0788965315005,1343.499204600812,6,6,6
S8,spatial,models/r_inla/spatial/spatial_inla_model_s8_rainfall_municipality.R,90483.3224592379,90669.29691185,3.95236431291778,10.3041509830556,0.457536623601328,54.2463376398672,0.876081464553352,2,2,2,S8,13,Climate heterogeneity,45.7536623601328,514.6990710898099,715.8408879303024,2,2,2
S9,spatial,models/r_inla/spatial/spatial_inla_model_s9_temperature_municipality.R,90775.5197177888,90966.5377619955,4.14237104593945,11.1197133066789,0.479532328502346,52.0467671497654,0.855689136553398,4,9,9,S9,14,Climate heterogeneity,47.9532328502346,811.9399212353019,1008.038146481209,4,9,9
S10,spatial,models/r_inla/spatial/spatial_inla_model_s10_rainfall_time.R,90356.1055900937,90736.6988553904,4.50381403275056,12.3375329592658,0.52137396826957,47.862603173043,0.822348656381964,3,13,12,S10,15,Climate heterogeneity,52.13739682695701,582.1010146301996,588.6240187861113,3,13,12
S11,spatial,models/r_inla/spatial/spatial_inla_model_s11_rainfall_spacetime.R,89767.4815713076,90154.5978407602,4.28108880174394,11.3804456531214,0.495590679554881,50.4409320445119,0.848842262421974,1,12,11,S11,16,Climate heterogeneity,49.5590679554881,0.0,0.0,1,12,11
